label	stage	budget	variant	status	pid	log_path
eval__tworoom_rank_seed42_pct05_e1_pca-r128_e10	eval-branch	pct05	pca-r128	pending		/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_e1_pca-r128_e10.log
eval__tworoom_rank_seed42_pct05_e1_pca-r64_e10	eval-branch	pct05	pca-r64	pending		/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_e1_pca-r64_e10.log
eval__tworoom_rank_seed42_pct05_e1_random-r128_e10	eval-branch	pct05	random-r128	pending		/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_e1_random-r128_e10.log
eval__tworoom_rank_seed42_pct05_e1_random-r64_e10	eval-branch	pct05	random-r64	pending		/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_e1_random-r64_e10.log
eval__tworoom_rank_seed42_pct05_pca-r128_e20	eval-branch	pct05	pca-r128	pending		/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_pca-r128_e20.log
eval__tworoom_rank_seed42_pct05_pca-r16_e20	eval-branch	pct05	pca-r16	completed	54752	/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_pca-r16_e20.log
eval__tworoom_rank_seed42_pct05_pca-r32_e20	eval-branch	pct05	pca-r32	completed	77898	/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_pca-r32_e20.log
eval__tworoom_rank_seed42_pct05_pca-r4_e20	eval-branch	pct05	pca-r4	completed	35646	/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_pca-r4_e20.log
eval__tworoom_rank_seed42_pct05_pca-r64_e20	eval-branch	pct05	pca-r64	pending		/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_pca-r64_e20.log
eval__tworoom_rank_seed42_pct05_pca-r8_e20	eval-branch	pct05	pca-r8	completed	101773	/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_pca-r8_e20.log
eval__tworoom_rank_seed42_pct05_random-r16_e20	eval-branch	pct05	random-r16	completed	123585	/workspace/stablewm/logs/tworoom_rank_ablation/eval__tworoom_rank_seed42_pct05_random-r16_e20.log
